date,station_id,reservoir,river,wma,prov,wss,fsc_mcm,water_mcm,pct_last_year,pct_last_week,pct_full,district_mun
20240506,B4R002,Vlugkraal,Vlugkraal,2,LP,,0.44,0.44,98.9,,100.3,DC47
20240506,B4R004,Buffelskloof,Waterval,2,M,,5.24,5.25,100.2,,100.1,DC32
20240506,B4R007,De Hoop,Steelpoort,2,LP,,348.7,348.87,100.1,,100,DC47
20240506,B5R002,FlagBoshielo,Olifants,2,LP,PK,185.13,186.32,100.7,,100.6,DC47
20240506,B6R001,Ohrigstad,Ohrigstad,2,M,,13.45,9.02,96.5,,67.1,DC32
20240506,B6R003,Blyderivierpoort,Blyde,2,M,,54.37,54.55,100.5,,100.3,DC32
20240506,B7R001,Klaserie,Klaserie,2,LP,,5.6,5.72,101.1,,102.1,DC33
20240506,B7R003,Tours,Ngwabitsi,2,LP,,6.08,6.05,99.7,,99.4,DC33
20240506,B8R001,Ebenezer,Groot-Letaba,2,LP,PK,69.14,70.89,100.8,,102.5,DC33
20240506,B8R002,HansMerensky,Ramadiepa,2,LP,,1.22,1.25,102.3,,101.9,DC33
20240506,B8R003,Magoebaskloof,Politsi,2,LP,,4.84,4.85,100.6,,100.2,DC33
20240506,B8R004,Vergelegen,Tributary ofPolitsi,2,LP,,0.25,0.24,101.9,,93.6,DC33
20240506,B8R005,Tzaneen,Groot-Letaba,2,LP,,114.28,92.04,99.3,,80.5,DC33
20240506,B8R006,DapNaude,Broederstroom,2,LP,,1.94,1.8,91.4,,93.1,DC33
