流域,行政区划,河名,库名,时间,库水位(米),日变幅(米),row_order_in_screen,report_date,crawl_time_local,screen_index
黄河,河南,洛河,故县水库,04-04 08:00,520.49,0.11,10,2026-04-04,2026-04-03 20:57:32,9
黄河,河南,甘水河,范店,04-01 08:00,325.7,,11,2026-04-04,2026-04-03 20:57:32,9
黄河,陕西,南洛河,李村,10-24 08:00,1035.36,,12,2026-04-04,2026-04-03 20:57:32,9
黄河,河南,陈宅河,寺河,04-01 08:00,401.36,,13,2026-04-04,2026-04-03 20:57:32,9
黄河,河南,丹河,青天河,04-01 08:00,353.3,,14,2026-04-04,2026-04-03 20:57:32,9
淮河,山东,淄河,太河水库,04-04 08:00,232.58,-0.02,15,2026-04-04,2026-04-03 20:57:32,9
淮河,山东,弥河,冶源水库,04-01 08:00,136.33,,16,2026-04-04,2026-04-03 20:57:32,9
淮河,山东,白浪河,白浪河水库,04-01 08:00,57.29,,17,2026-04-04,2026-04-03 20:57:32,9
淮河,山东,潍河,墙齐水库（西库）,04-01 08:00,98.31,,18,2026-04-04,2026-04-03 20:57:32,9
淮河,山东,汶河,高崖水库,04-01 08:00,152.41,,19,2026-04-04,2026-04-03 20:57:32,9
淮河,山东,大沽河,产芝水库,04-01 08:00,72.02,,20,2026-04-04,2026-04-03 20:57:32,9
淮河,山东,猪洞河,尹府水库,04-01 08:00,78.48,,21,2026-04-04,2026-04-03 20:57:32,9
淮河,山东,白沙河,崂山水库,04-01 08:00,49.57,,22,2026-04-04,2026-04-03 20:57:32,9
淮河,山东,清洋河,门楼水库,04-01 08:00,28.72,,23,2026-04-04,2026-04-03 20:57:32,9
淮河,山东,东母猪河,郭格庄水库,04-01 08:00,81.03,,24,2026-04-04,2026-04-03 20:57:32,9
淮河,山东,浚河,唐村水库,04-01 08:00,185.06,,0,2026-04-04,2026-04-03 20:57:32,11
淮河,山东,温凉河,许家崖水库,04-01 08:00,145.39,,1,2026-04-04,2026-04-03 20:57:32,11
淮河,江苏,淋头河,阿湖水库站,04-04 08:00,26.27,,2,2026-04-04,2026-04-03 20:57:32,11
淮河,山东,沭河,沙沟水库,04-01 08:00,66.39,,3,2026-04-04,2026-04-03 20:57:32,11
